name,artist_names,popularity,release_date
La Cintura (feat. Flo Rida & TINI) - Remix,"{'Alvaro Soler', 'Flo Rida', 'TINI'}",12,2018-07-26
Pardon mama,{'Lacrim'},43,2019-02-08
Elevate,{'Drake'},4,2018-06-29
Blitzlicht,"{'AK Ausserkontrolle', 'Sa4'}",45,2018-11-09
Cut To The Feeling,{'Carly Rae Jepsen'},5,2017-05-26
Maître Ruben,{'Sofiane'},0,2017-09-08
Coisa de Deus - Ao Vivo,"{'Michel Teló', 'Jorge & Mateus'}",42,2017-08-18
Allez leur dire,{'SCH'},41,2017-05-05
We Can Do Better,{'Matt Simons'},32,2018-04-04
Inspi d'ailleurs,{'Jul'},53,2018-06-29
Ohne Sinn,{'Sero El Mero'},49,2019-04-29
Light On,{'Maggie Rogers'},13,2018-10-10
So Far Away (feat. Jamie Scott & Romy Dya),"{'Martin Garrix', 'David Guetta', 'Jamie Scott', 'Romy Dya'}",16,2018-04-25
One Last Time,{'Ariana Grande'},48,2014-08-24
Ocho Cinco,{'M Huncho'},55,2019-04-12
Dis-moi que tu m'aimes,{'Ninho'},61,2016-10-21
Sugar Wraith,{'Post Malone'},72,2018-04-27
Julien,{'Brulux'},46,2019-03-08
Tô Com Moral No Céu! - Ao Vivo,{'Matheus & Kauan'},62,2018-05-10
8 Out Of 10,{'Drake'},3,2018-06-29
Best Life,"{'Hardy Caprio', 'One Acen'}",67,2018-06-28
No Complaints,"{'Metro Boomin', 'Offset', 'Drake'}",52,2017-06-23
No Sleep,{'Skepta'},55,2019-05-31
Afro Trap Pt. 7 (La puissance) - Major Lazer Remix,"{'MHD', 'Major Lazer'}",54,2018-01-15
Bad and Boujee (feat. Lil Uzi Vert),"{'Migos', 'Lil Uzi Vert'}",76,2017-01-27
Não Atende Não,{'Wesley Safadão'},60,2018-09-12
Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),"{'Gucci Mane', 'DaBaby', 'YoungBoy Never Broke Again'}",9,2019-09-13
Wendy,{'Lil Lano'},52,2018-03-25
Bonne meuf,{'Orelsan'},47,2017-10-20
Sleigh Ride,{'Phil Spector'},0,2015-07-01
Cherry Hill,{'Russ'},66,2017-05-05
On va la faire,{'Niro'},0,2017-07-21
Elle avait son Djo,"{'Niska', 'Maître Gims'}",0,2016-06-03
Roli,{'Luciano'},47,2018-11-23
